"","Sample","site","copies_mL"
"1","BO11","BO",45874.7805916793
"2","BO12","BO",18960.3961616434
"3","BO13","BO",30244.6093215227
"4","BO14","BO",85816.1827890985
"5","BO15","BO",34585.6586619774
"6","BO16REDO","BO",32447.2992140839
"7","BO17","BO",69064.509251122
"8","BO18","BO",50214.0843588211
"9","BO19","BO",71334.2484223254
"10","BO7","BO",25462.3160806161
"11","BO8","BO",33586.3457218494
"12","BO9","BO",29092.8251170204
"13","C211","C2",6607.17012336502
"14","C212","C2",14343.0540743665
"15","C213","C2",16787.4678115069
"16","C214","C2",10762.0718976435
"17","C215","C2",9155.12768381903
"18","C216","C2",20656.1630844893
"19","C217","C2",8376.50708050311
"20","C218","C2",28784.5619007147
"21","C219 REDO","C2",28577.6044014392
"22","C27 REDO","C2",21657.5647756801
"23","C28","C2",14290.4100693708
"24","C29","C2",4353.79836339049
"25","RD611","RD",695.390637653543
"26","RD612","RD",47081.0826200257
"27","RD613","RD",51604.4255464919
"28","RD614","RD",97906.3926285433
"29","RD615","RD",110322.34486416
"30","RD616","RD",71864.4639987752
"31","RD617","RD",69089.2704430611
"32","RD618","RD",149149.612298964
"33","RD619","RD",107384.117957655
"34","RD67","RD",441.833666127579
"35","RD68","RD",2669.76384292788
"36","RD69","RD",3243.35262062961
