,Sample,site,copies_mL,date
1,BO11,BO,45874.78059,2022-07-11
2,BO12,BO,18960.39616,2022-07-12
3,BO13,BO,30244.60932,2022-07-13
4,BO14,BO,85816.18279,2022-07-14
5,BO15,BO,34585.65866,2022-07-15
6,BO16REDO,BO,32447.29921,2022-07-16
7,BO17,BO,69064.50925,2022-07-17
8,BO18,BO,50214.08436,2022-07-18
9,BO19,BO,71334.24842,2022-07-19
10,BO7,BO,25462.31608,2022-07-07
11,BO8,BO,33586.34572,2022-07-08
12,BO9,BO,29092.82512,2022-07-09
13,C211,C2,6607.170123,2022-07-11
14,C212,C2,14343.05407,2022-07-12
15,C213,C2,16787.46781,2022-07-13
16,C214,C2,10762.0719,2022-07-14
17,C215,C2,9155.127684,2022-07-15
18,C216,C2,20656.16308,2022-07-16
19,C217,C2,8376.507081,2022-07-17
20,C218,C2,28784.5619,2022-07-18
21,C219 REDO,C2,28577.6044,2022-07-19
22,C27 REDO,C2,21657.56478,2022-07-07
23,C28,C2,14290.41007,2022-07-08
24,C29,C2,4353.798363,2022-07-09
25,RD611,RD,695.3906377,2022-07-11
26,RD612,RD,47081.08262,2022-07-12
27,RD613,RD,51604.42555,2022-07-13
28,RD614,RD,97906.39263,2022-07-14
29,RD615,RD,110322.3449,2022-07-15
30,RD616,RD,71864.464,2022-07-16
31,RD617,RD,69089.27044,2022-07-17
32,RD618,RD,149149.6123,2022-07-18
33,RD619,RD,107384.118,2022-07-19
34,RD67,RD,441.8336661,2022-07-07
35,RD68,RD,2669.763843,2022-07-08
36,RD69,RD,3243.352621,2022-07-09
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
