"","date","site","Type","copies_mL"
"1","2022-02-16","BO","Monthly",10282.558050018
"2","2022-02-16","C2","Monthly",162.744294929532
"3","2022-02-16","RD","Monthly",10624.809779421
"4","2022-03-09","BO","Monthly",4814.17874907429
"5","2022-03-09","C2","Monthly",2077.58356792572
"6","2022-03-09","RD","Monthly",840.164208848921
"7","2022-04-20","BO","Monthly",26688.5722060569
"8","2022-04-20","C2","Monthly",456.885029425443
"9","2022-04-20","RD","Monthly",54655.9578286175
"10","2022-05-11","BO","Monthly",28573.716857517
"11","2022-05-11","C2","Monthly",1410.15776554063
"12","2022-05-11","RD","Monthly",1960.56218370491
"13","2022-05-20","BO","Monthly",5518.75011425641
"14","2022-05-20","C2","Monthly",3244.19214456707
"15","2022-05-20","RD","Monthly",9961.75012883591
"16","2022-05-24","BO","Monthly",8310.40576257361
"17","2022-05-24","C2","Monthly",2505.55717407727
"18","2022-05-24","RD","Monthly",32627.0016168752
"19","2022-06-14","BO","Monthly",36697.0018723545
"20","2022-06-14","C2","Monthly",6869.41592195122
"21","2022-06-14","RD","Monthly",22871.1238143954
"22","2022-08-09","BO","Monthly",7983.12042159419
"23","2022-08-09","C2","Monthly",19801.3788108647
"24","2022-08-09","RD","Monthly",37654.6697803734
"25","2022-09-13","BO","Monthly",10999.7212778067
"26","2022-09-13","C2","Monthly",9953.42209671339
"27","2022-09-13","RD","Monthly",41525.2850763968
"28","2022-10-18","BO","Monthly",88401.3351298823
"29","2022-10-18","C2","Monthly",16900.5945485418
"30","2022-10-18","RD","Monthly",33611.763666172
"31","2022-11-15","BO","Monthly",40813.6499505616
"32","2022-11-15","C2","Monthly",2733.22408044376
"33","2022-11-15","RD","Monthly",30542.1647379755
"34","2022-12-14","BO","Monthly",22042.477967247
"35","2022-12-14","C2","Monthly",26757.4491570034
"36","2022-12-14","RD","Monthly",520.058085008702
"37","2022-07-07","BO","Daily",25462.3160806161
"38","2022-07-07","C2","Daily",21657.5647756801
"39","2022-07-07","RD","Daily",441.833666127579
"40","2022-07-08","BO","Daily",33586.3457218494
"41","2022-07-08","C2","Daily",14290.4100693708
"42","2022-07-08","RD","Daily",2669.76384292788
"43","2022-07-09","BO","Daily",29092.8251170204
"44","2022-07-09","C2","Daily",4353.79836339049
"45","2022-07-09","RD","Daily",3243.35262062961
"46","2022-07-11","BO","Daily",45874.7805916793
"47","2022-07-11","C2","Daily",6607.17012336502
"48","2022-07-11","RD","Daily",695.390637653543
"49","2022-07-12","BO","Daily",18960.3961616434
"50","2022-07-12","C2","Daily",14343.0540743665
"51","2022-07-12","RD","Daily",47081.0826200257
"52","2022-07-13","BO","Daily",30244.6093215227
"53","2022-07-13","C2","Daily",16787.4678115069
"54","2022-07-13","RD","Daily",51604.4255464919
"55","2022-07-14","BO","Daily",85816.1827890985
"56","2022-07-14","C2","Daily",10762.0718976435
"57","2022-07-14","RD","Daily",97906.3926285433
"58","2022-07-15","BO","Daily",34585.6586619774
"59","2022-07-15","C2","Daily",9155.12768381903
"60","2022-07-15","RD","Daily",110322.34486416
"61","2022-07-16","BO","Daily",32447.2992140839
"62","2022-07-16","C2","Daily",20656.1630844893
"63","2022-07-16","RD","Daily",71864.4639987752
"64","2022-07-17","BO","Daily",69064.509251122
"65","2022-07-17","C2","Daily",8376.50708050311
"66","2022-07-17","RD","Daily",69089.2704430611
"67","2022-07-18","BO","Daily",50214.0843588211
"68","2022-07-18","C2","Daily",28784.5619007147
"69","2022-07-18","RD","Daily",149149.612298964
"70","2022-07-19","BO","Daily",71334.2484223254
"71","2022-07-19","C2","Daily",28577.6044014392
"72","2022-07-19","RD","Daily",107384.117957655
